FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,toilette_type,etab_nom,geometry
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_673,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,{Latrines a eau},Nsp,POINT (1.2162893938248343 6.217511165538548)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_674,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,{WCs},Nsp,POINT (1.2007517670504666 6.210137092728879)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_675,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,{Latrines seches},Nsp,POINT (1.2002342584223846 6.206597174357921)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_676,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,{Latrines seches},Nsp,POINT (1.2001715789677825 6.2064264036727215)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_677,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,"{Latrines a eau,Latrines seches}",Nsp,POINT (1.200596666666666 6.217056666666667)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_678,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,{WCs},Nsp,POINT (1.2024014460192296 6.217457764454085)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_679,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,"{Douches,WCs}",Nsp,POINT (1.20784108313398 6.218152707360672)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_67a,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,{Latrines a eau},Nsp,POINT (1.2059939656529726 6.2103867161715325)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_67b,Maritime,Golfe,Golfe 1,Bè-Est,{Latrines seches},Nsp,POINT (1.2737933333333347 6.165288333333333)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_67c,Maritime,Golfe,Golfe 1,Bè-Est,{WCs},Nsp,POINT (1.2713541872002068 6.166028284109189)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_67d,Maritime,Golfe,Golfe 1,Bè-Est,{WCs},Nsp,POINT (1.2768510403785944 6.160042537958687)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_67e,Maritime,Golfe,Golfe 6,Baguida,{Latrines a eau},Nsp,POINT (1.3235483333333333 6.167894999999998)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_67f,Maritime,Golfe,Golfe 6,Baguida,{WCs},Nsp,POINT (1.3248377517499401 6.166661072957037)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_680,Maritime,Golfe,Golfe 6,Baguida,"{WCs,Pissotieres}",Nsp,POINT (1.3028427553935733 6.178400201140452)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_681,Maritime,Golfe,Golfe 6,Baguida,{Latrines seches},Nsp,POINT (1.3036183333333333 6.177861666666667)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_682,Maritime,Golfe,Golfe 6,Baguida,{Douches},Nsp,POINT (1.3035836692229836 6.177878618782148)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_683,Maritime,Golfe,Golfe 6,Baguida,{Latrines seches},Nsp,POINT (1.3043351565925099 6.174480084223079)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_684,Maritime,Golfe,Golfe 6,Baguida,{Latrines seches},Nsp,POINT (1.3042191752159273 6.174872831425668)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_685,Maritime,Golfe,Golfe 6,Baguida,{WCs},Nsp,POINT (1.3531283333333337 6.169805)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_686,Maritime,Golfe,Golfe 6,Baguida,"{Latrines a eau,Pissotieres}",Nsp,POINT (1.3173283333333334 6.176693333333333)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_687,Maritime,Golfe,Golfe 6,Baguida,{WCs},Nsp,POINT (1.3126745382086458 6.178316708231421)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_688,Maritime,Golfe,Golfe 6,Baguida,{Douches},Nsp,POINT (1.3162309422944212 6.177329538593601)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_689,Maritime,Golfe,Golfe 6,Baguida,{Latrines a eau},Nsp,POINT (1.3213034289365 6.18211827938546)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_68a,Maritime,Golfe,Golfe 6,Baguida,{Latrines a eau},Nsp,POINT (1.3016259573023496 6.179344376967238)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_68b,Maritime,Golfe,Golfe 6,Baguida,"{WCs,Latrines a eau}",Nsp,POINT (1.3222876016135252 6.170990087060981)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_68c,Maritime,Golfe,Golfe 6,Baguida,"{WCs,Latrines a eau}",Nsp,POINT (1.3211483333333336 6.178216666666666)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_68d,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,{WCs},Nsp,POINT (1.197713365337001 6.224493491553723)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_68e,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,"{WCs,Pissotieres}",Nsp,POINT (1.1881035767025543 6.225689288992835)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_68f,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,{Latrines a eau},Nsp,POINT (1.2116616666666666 6.226235000000002)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_690,Maritime,Golfe,Golfe 6,Baguida,"{WCs,Latrines a eau}",Nsp,POINT (1.3208982524580375 6.178120444546579)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_691,Maritime,Golfe,Golfe 6,Baguida,"{Latrines a eau,Douches}",Nsp,POINT (1.3206639589209244 6.1881635403722335)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_692,Maritime,Golfe,Golfe 6,Baguida,"{Pissotieres,Latrines seches}",Nsp,POINT (1.321933333333334 6.1816433333333345)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_693,Maritime,Golfe,Golfe 6,Baguida,{Latrines seches},Nsp,POINT (1.3274689206693324 6.173068613414976)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_694,Maritime,Vo,Vo 1,Vogan,{Latrines seches},Nsp,POINT (1.5164405638341023 6.377361553767812)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_695,Maritime,Vo,Vo 1,Vogan,{WCs},Nsp,POINT (1.4860115476735583 6.395277677659164)
