"indicateur","région","sexe","Unit","Date","Value"
"Admission au BEPC par région et par sexe (%)","Centrale","Masculin","%","2018","64.1"
"Admission au BEPC par région et par sexe (%)","Centrale","Masculin","%","2019","59.1"
"Admission au BEPC par région et par sexe (%)","Centrale","Masculin","%","2020","69.5"
"Admission au BEPC par région et par sexe (%)","Centrale","Masculin","%","2021","70.2"
"Admission au BEPC par région et par sexe (%)","Centrale","Masculin","%","2022","68.8"
"Admission au BEPC par région et par sexe (%)","Centrale","Féminin","%","2011","65.6"
"Admission au BEPC par région et par sexe (%)","Centrale","Féminin","%","2012","61.7"
"Admission au BEPC par région et par sexe (%)","Centrale","Féminin","%","2013","55.2"
"Admission au BEPC par région et par sexe (%)","Centrale","Féminin","%","2014","67.2"
"Admission au BEPC par région et par sexe (%)","Centrale","Féminin","%","2015","54.7"
"Admission au BEPC par région et par sexe (%)","Centrale","Féminin","%","2016","45.6"
"Admission au BEPC par région et par sexe (%)","Centrale","Féminin","%","2017","59.6"
"Admission au BEPC par région et par sexe (%)","Centrale","Féminin","%","2018","54.9"
"Admission au BEPC par région et par sexe (%)","Centrale","Féminin","%","2019","52.7"
"Admission au BEPC par région et par sexe (%)","Centrale","Féminin","%","2020","62.3"
"Admission au BEPC par région et par sexe (%)","Centrale","Féminin","%","2021","63.4"
"Admission au BEPC par région et par sexe (%)","Centrale","Féminin","%","2022","61.5"
"Admission au BEPC par région et par sexe (%)","Kara","Total","%","2011","71.8"
"Admission au BEPC par région et par sexe (%)","Kara","Total","%","2012","70.8"
"Admission au BEPC par région et par sexe (%)","Kara","Total","%","2013","62.8"
"Admission au BEPC par région et par sexe (%)","Kara","Total","%","2014","70.8"
"Admission au BEPC par région et par sexe (%)","Kara","Total","%","2015","77.4"
"Admission au BEPC par région et par sexe (%)","Kara","Total","%","2016","69.4"
"Admission au BEPC par région et par sexe (%)","Kara","Total","%","2017","76.6"
"Admission au BEPC par région et par sexe (%)","Kara","Total","%","2018","74.4"
"Admission au BEPC par région et par sexe (%)","Kara","Total","%","2019","73.5"
"Admission au BEPC par région et par sexe (%)","Kara","Total","%","2020","77.6"
"Admission au BEPC par région et par sexe (%)","Kara","Total","%","2021","81.9"
"Admission au BEPC par région et par sexe (%)","Kara","Total","%","2022","80.8"
"Admission au BEPC par région et par sexe (%)","Kara","Masculin","%","2011","74.5"
"Admission au BEPC par région et par sexe (%)","Kara","Masculin","%","2012","73.2"
"Admission au BEPC par région et par sexe (%)","Kara","Masculin","%","2013","67.4"
