"indicateurs","niveau","secteur","Unit","Date","Value"
"Nombre d'écoles","Primaire","Autres (Privés, confessionnelles, etc.)","Number","2018","2425"
"Nombre d'écoles","Primaire","Autres (Privés, confessionnelles, etc.)","Number","2019","2551"
"Nombre d'écoles","Primaire","Autres (Privés, confessionnelles, etc.)","Number","2020","2661"
"Nombre d'écoles","Primaire","Autres (Privés, confessionnelles, etc.)","Number","2021","2736"
"Nombre d'écoles","Primaire","Autres (Privés, confessionnelles, etc.)","Number","2022","2781"
"Nombre d'écoles","Collège","Total","Number","2013","1360"
"Nombre d'écoles","Collège","Total","Number","2014","1351"
"Nombre d'écoles","Collège","Total","Number","2015","1472"
"Nombre d'écoles","Collège","Total","Number","2016","1494"
"Nombre d'écoles","Collège","Total","Number","2017","1748"
"Nombre d'écoles","Collège","Total","Number","2018","1765"
"Nombre d'écoles","Collège","Total","Number","2019","1786"
"Nombre d'écoles","Collège","Total","Number","2020","2034"
"Nombre d'écoles","Collège","Total","Number","2021","2094"
"Nombre d'écoles","Collège","Total","Number","2022","2250"
"Nombre d'écoles","Collège","Public","Number","2013","395"
"Nombre d'écoles","Collège","Public","Number","2014","731"
"Nombre d'écoles","Collège","Public","Number","2015","776"
"Nombre d'écoles","Collège","Public","Number","2016","789"
"Nombre d'écoles","Collège","Public","Number","2017","800"
"Nombre d'écoles","Collège","Public","Number","2018","802"
"Nombre d'écoles","Collège","Public","Number","2019","823"
"Nombre d'écoles","Collège","Public","Number","2020","862"
"Nombre d'écoles","Collège","Public","Number","2021","875"
"Nombre d'écoles","Collège","Public","Number","2022","987"
"Nombre d'écoles","Collège","Autres (Privés, confessionnelles, etc.)","Number","2013","965"
"Nombre d'écoles","Collège","Autres (Privés, confessionnelles, etc.)","Number","2014","620"
"Nombre d'écoles","Collège","Autres (Privés, confessionnelles, etc.)","Number","2015","696"
"Nombre d'écoles","Collège","Autres (Privés, confessionnelles, etc.)","Number","2016","705"
"Nombre d'écoles","Collège","Autres (Privés, confessionnelles, etc.)","Number","2017","948"
"Nombre d'écoles","Collège","Autres (Privés, confessionnelles, etc.)","Number","2018","963"
"Nombre d'écoles","Collège","Autres (Privés, confessionnelles, etc.)","Number","2019","963"
"Nombre d'écoles","Collège","Autres (Privés, confessionnelles, etc.)","Number","2020","1172"
"Nombre d'écoles","Collège","Autres (Privés, confessionnelles, etc.)","Number","2021","1219"
"Nombre d'écoles","Collège","Autres (Privés, confessionnelles, etc.)","Number","2022","1263"
"Nombre d'écoles","Lycée","Total","Number","2013","347"
"Nombre d'écoles","Lycée","Total","Number","2014","313"
"Nombre d'écoles","Lycée","Total","Number","2015","358"
"Nombre d'écoles","Lycée","Total","Number","2016","373"
"Nombre d'écoles","Lycée","Total","Number","2017","407"
"Nombre d'écoles","Lycée","Total","Number","2018","444"
"Nombre d'écoles","Lycée","Total","Number","2019","492"
"Nombre d'écoles","Lycée","Total","Number","2020","569"
"Nombre d'écoles","Lycée","Total","Number","2021","589"
"Nombre d'écoles","Lycée","Total","Number","2022","665"
"Nombre d'écoles","Lycée","Public","Number","2013","191"
"Nombre d'écoles","Lycée","Public","Number","2014","193"
"Nombre d'écoles","Lycée","Public","Number","2015","206"
"Nombre d'écoles","Lycée","Public","Number","2016","217"
"Nombre d'écoles","Lycée","Public","Number","2017","220"
"Nombre d'écoles","Lycée","Public","Number","2018","228"
"Nombre d'écoles","Lycée","Public","Number","2019","240"
"Nombre d'écoles","Lycée","Public","Number","2020","258"
"Nombre d'écoles","Lycée","Public","Number","2021","270"
"Nombre d'écoles","Lycée","Public","Number","2022","321"
"Nombre d'écoles","Lycée","Autres (Privés, confessionnelles, etc.)","Number","2013","156"
"Nombre d'écoles","Lycée","Autres (Privés, confessionnelles, etc.)","Number","2014","120"
"Nombre d'écoles","Lycée","Autres (Privés, confessionnelles, etc.)","Number","2015","152"
"Nombre d'écoles","Lycée","Autres (Privés, confessionnelles, etc.)","Number","2016","156"
"Nombre d'écoles","Lycée","Autres (Privés, confessionnelles, etc.)","Number","2017","187"
"Nombre d'écoles","Lycée","Autres (Privés, confessionnelles, etc.)","Number","2018","216"
"Nombre d'écoles","Lycée","Autres (Privés, confessionnelles, etc.)","Number","2019","252"
"Nombre d'écoles","Lycée","Autres (Privés, confessionnelles, etc.)","Number","2020","311"
"Nombre d'écoles","Lycée","Autres (Privés, confessionnelles, etc.)","Number","2021","319"
"Nombre d'écoles","Lycée","Autres (Privés, confessionnelles, etc.)","Number","2022","344"
"Nombre d'enseignants","Total","Total","Number","2013","51647"
"Nombre d'enseignants","Total","Total","Number","2014","53151"
"Nombre d'enseignants","Total","Total","Number","2015","55102"
"Nombre d'enseignants","Total","Total","Number","2016","58475"
"Nombre d'enseignants","Total","Total","Number","2017","64669"
"Nombre d'enseignants","Total","Total","Number","2018","65631"
"Nombre d'enseignants","Total","Total","Number","2019","102984"
"Nombre d'enseignants","Total","Total","Number","2020","74861"
"Nombre d'enseignants","Total","Total","Number","2021","77697"
"Nombre d'enseignants","Total","Total","Number","2022","76862"
"Nombre d'enseignants","Total","Public","Number","2013","30369"
