"indicateurs","niveau","secteur","Unit","Date","Value"
"Taux d'achèvement ou de diplomation","Collège","Total","percentage","2017","50"
"Taux d'achèvement ou de diplomation","Collège","Total","percentage","2018","48.8"
"Taux d'achèvement ou de diplomation","Collège","Total","percentage","2019","49.8"
"Taux d'achèvement ou de diplomation","Collège","Total","percentage","2020","51.7"
"Taux d'achèvement ou de diplomation","Collège","Total","percentage","2021","56.9"
"Taux d'achèvement ou de diplomation","Collège","Total","percentage","2022","62.7"
"Taux d'achèvement ou de diplomation","Lycée","Total","percentage","2013","16.3"
"Taux d'achèvement ou de diplomation","Lycée","Total","percentage","2014","20.2"
"Taux d'achèvement ou de diplomation","Lycée","Total","percentage","2015","17"
"Taux d'achèvement ou de diplomation","Lycée","Total","percentage","2016","22.5"
"Taux d'achèvement ou de diplomation","Lycée","Total","percentage","2017","15.9"
"Taux d'achèvement ou de diplomation","Lycée","Total","percentage","2018","16"
"Taux d'achèvement ou de diplomation","Lycée","Total","percentage","2019","27.9"
"Taux d'achèvement ou de diplomation","Lycée","Total","percentage","2020","22.9"
"Taux d'achèvement ou de diplomation","Lycée","Total","percentage","2021","28.9"
"Taux d'achèvement ou de diplomation","Lycée","Total","percentage","2022","27.2"
"résultats de l'examen de compétence","Primaire","Total","percentage","2013","84.5"
"résultats de l'examen de compétence","Primaire","Total","percentage","2014","82.2"
"résultats de l'examen de compétence","Primaire","Total","percentage","2015","84.26"
"résultats de l'examen de compétence","Primaire","Total","percentage","2016","81.1"
"résultats de l'examen de compétence","Primaire","Total","percentage","2017","80.61"
"résultats de l'examen de compétence","Primaire","Total","percentage","2018","79.92"
"résultats de l'examen de compétence","Primaire","Total","percentage","2019","78.007"
"résultats de l'examen de compétence","Primaire","Total","percentage","2020","78.3"
"résultats de l'examen de compétence","Primaire","Total","percentage","2021","85.32"
"résultats de l'examen de compétence","Primaire","Total","percentage","2022","81.77"
"résultats de l'examen de compétence","Collège","Total","percentage","2013","59.9"
"résultats de l'examen de compétence","Collège","Total","percentage","2014","63.2"
"résultats de l'examen de compétence","Collège","Total","percentage","2015","65.4"
"résultats de l'examen de compétence","Collège","Total","percentage","2016","61.96"
"résultats de l'examen de compétence","Collège","Total","percentage","2017","65.59"
"résultats de l'examen de compétence","Collège","Total","percentage","2018","64.96"
"résultats de l'examen de compétence","Collège","Total","percentage","2019","56.23"
"résultats de l'examen de compétence","Collège","Total","percentage","2020","65.52"
"résultats de l'examen de compétence","Collège","Total","percentage","2021","65.86"
"résultats de l'examen de compétence","Collège","Total","percentage","2022","64.29"
"résultats de l'examen de compétence","Lycée","Total","percentage","2013","52.2"
"résultats de l'examen de compétence","Lycée","Total","percentage","2014","58.32"
"résultats de l'examen de compétence","Lycée","Total","percentage","2015","60.88"
"résultats de l'examen de compétence","Lycée","Total","percentage","2016","79.07"
"résultats de l'examen de compétence","Lycée","Total","percentage","2017","63.47"
"résultats de l'examen de compétence","Lycée","Total","percentage","2018","53.29"
"résultats de l'examen de compétence","Lycée","Total","percentage","2019","65.92"
"résultats de l'examen de compétence","Lycée","Total","percentage","2020","59.38"
"résultats de l'examen de compétence","Lycée","Total","percentage","2021","56.05"
"résultats de l'examen de compétence","Lycée","Total","percentage","2022","58.03"
"Taux de scolarisation","Jardins d'enfants","Total","percentage","2013","15.8"
"Taux de scolarisation","Jardins d'enfants","Total","percentage","2014","16.5"
"Taux de scolarisation","Jardins d'enfants","Total","percentage","2015","19.06"
"Taux de scolarisation","Jardins d'enfants","Total","percentage","2016","35.3"
"Taux de scolarisation","Jardins d'enfants","Total","percentage","2017","37.2"
"Taux de scolarisation","Jardins d'enfants","Total","percentage","2018","38.1"
"Taux de scolarisation","Jardins d'enfants","Total","percentage","2019","37.3"
"Taux de scolarisation","Jardins d'enfants","Total","percentage","2020","43.67"
