"indicateur","région","sexe","Unit","Date","Value"
"Taux de Promotion au primaire par région  (%)","Maritime","Féminin","%","2016","79.8"
"Taux de Promotion au primaire par région  (%)","Maritime","Féminin","%","2017","81.3"
"Taux de Promotion au primaire par région  (%)","Maritime","Féminin","%","2018","84.9"
"Taux de Promotion au primaire par région  (%)","Maritime","Féminin","%","2019","84.1"
"Taux de Promotion au primaire par région  (%)","Plateaux","Total","%","2014","70.6"
"Taux de Promotion au primaire par région  (%)","Plateaux","Total","%","2015","72.8"
"Taux de Promotion au primaire par région  (%)","Plateaux","Total","%","2016","83.8"
"Taux de Promotion au primaire par région  (%)","Plateaux","Total","%","2017","80.1"
"Taux de Promotion au primaire par région  (%)","Plateaux","Total","%","2018","81"
"Taux de Promotion au primaire par région  (%)","Plateaux","Total","%","2019","80.8"
"Taux de Promotion au primaire par région  (%)","Plateaux","Masculin","%","2014","70.7"
"Taux de Promotion au primaire par région  (%)","Plateaux","Masculin","%","2015","73.5"
"Taux de Promotion au primaire par région  (%)","Plateaux","Masculin","%","2016","84.9"
"Taux de Promotion au primaire par région  (%)","Plateaux","Masculin","%","2017","80.4"
"Taux de Promotion au primaire par région  (%)","Plateaux","Masculin","%","2018","81.1"
"Taux de Promotion au primaire par région  (%)","Plateaux","Masculin","%","2019","81.2"
"Taux de Promotion au primaire par région  (%)","Plateaux","Féminin","%","2014","70.4"
"Taux de Promotion au primaire par région  (%)","Plateaux","Féminin","%","2015","72.1"
"Taux de Promotion au primaire par région  (%)","Plateaux","Féminin","%","2016","82.7"
"Taux de Promotion au primaire par région  (%)","Plateaux","Féminin","%","2017","79.8"
"Taux de Promotion au primaire par région  (%)","Plateaux","Féminin","%","2018","81"
"Taux de Promotion au primaire par région  (%)","Plateaux","Féminin","%","2019","80.4"
"Taux de Promotion au primaire par région  (%)","Centrale","Total","%","2014","83"
"Taux de Promotion au primaire par région  (%)","Centrale","Total","%","2015","84.3"
"Taux de Promotion au primaire par région  (%)","Centrale","Total","%","2016","83.4"
"Taux de Promotion au primaire par région  (%)","Centrale","Total","%","2017","83.7"
"Taux de Promotion au primaire par région  (%)","Centrale","Total","%","2018","81.8"
"Taux de Promotion au primaire par région  (%)","Centrale","Total","%","2019","82.5"
"Taux de Promotion au primaire par région  (%)","Centrale","Masculin","%","2014","83.9"
"Taux de Promotion au primaire par région  (%)","Centrale","Masculin","%","2015","84.8"
"Taux de Promotion au primaire par région  (%)","Centrale","Masculin","%","2016","83.9"
"Taux de Promotion au primaire par région  (%)","Centrale","Masculin","%","2017","84.3"
"Taux de Promotion au primaire par région  (%)","Centrale","Masculin","%","2018","81.7"
